chrom	start	end	GC
chr1	0	50000	0.46598
chr1	50000	100000	0.43372
chr1	100000	150000	0.48816
chr1	150000	200000	0.47006
chr1	200000	250000	0.43108
chr1	250000	300000	0.45046
chr1	300000	350000	0.42144
chr1	350000	400000	0.40098
chr1	400000	450000	0.39506
chr1	450000	500000	0.36872
chr1	500000	550000	0.38076
chr1	550000	600000	0.38432
chr1	600000	650000	0.42194
chr1	650000	700000	0.39548
chr1	700000	750000	0.37454
chr1	750000	800000	0.3779
chr1	800000	850000	0.36242
chr1	850000	900000	0.3694
chr1	900000	950000	0.3678
chr1	950000	1000000	0.36504
chr1	1000000	1050000	0.36368
chr1	1050000	1100000	0.38442
chr1	1100000	1150000	0.382
chr1	1150000	1200000	0.42302
chr1	1200000	1250000	0.42238
chr1	1250000	1300000	0.37268
chr1	1300000	1350000	0.3708
chr1	1350000	1400000	0.37468
chr1	1400000	1450000	0.3804
chr1	1450000	1500000	0.3846
chr1	1500000	1550000	0.41042
chr1	1550000	1600000	0.41702
chr1	1600000	1650000	0.45266
chr1	1650000	1700000	0.46676
chr1	1700000	1750000	0.49864
chr1	1750000	1800000	0.4367
chr1	1800000	1850000	0.4019
chr1	1850000	1900000	0.42874
chr1	1900000	1950000	0.48698
chr1	1950000	2000000	0.4413
chr1	2000000	2050000	0.42464
chr1	2050000	2100000	0.45142
chr1	2100000	2150000	0.4123
chr1	2150000	2200000	0.3914
chr1	2200000	2250000	0.48214
chr1	2250000	2300000	0.45374
chr1	2300000	2350000	0.43254
chr1	2350000	2400000	0.4698
chr1	2400000	2450000	0.42776
chr1	2450000	2500000	0.42442
chr1	2500000	2550000	0.44104
chr1	2550000	2600000	0.48506
chr1	2600000	2650000	0.40554
chr1	2650000	2700000	0.41412
chr1	2700000	2750000	0.4069
chr1	2750000	2800000	0.40084
chr1	2800000	2850000	0.38104
chr1	2850000	2900000	0.41214
chr1	2900000	2950000	0.42504
chr1	2950000	3000000	0.41062
chr1	3000000	3050000	0.39826
chr1	3050000	3100000	0.43374
chr1	3100000	3150000	0.42634
chr1	3150000	3200000	0.40886
chr1	3200000	3250000	0.4476
chr1	3250000	3300000	0.44304
chr1	3300000	3350000	0.41414
chr1	3350000	3400000	0.43886
chr1	3400000	3450000	0.48038
chr1	3450000	3500000	0.4258
chr1	3500000	3550000	0.4678
chr1	3550000	3600000	0.44622
chr1	3600000	3650000	0.44956
chr1	3650000	3700000	0.44918
chr1	3700000	3750000	0.44598
chr1	3750000	3800000	0.46474
chr1	3800000	3850000	0.43866
chr1	3850000	3900000	0.4647
chr1	3900000	3950000	0.44736
chr1	3950000	4000000	0.46868
chr1	4000000	4050000	0.42396
chr1	4050000	4100000	0.41734
chr1	4100000	4150000	0.43574
chr1	4150000	4200000	0.4345
chr1	4200000	4250000	0.4597
chr1	4250000	4300000	0.4105
chr1	4300000	4350000	0.46258
chr1	4350000	4400000	0.47568
chr1	4400000	4450000	0.43302
chr1	4450000	4500000	0.42188
chr1	4500000	4550000	0.41294
chr1	4550000	4600000	0.39638
chr1	4600000	4650000	0.38208
chr1	4650000	4700000	0.39602
chr1	4700000	4750000	0.4047
chr1	4750000	4800000	0.45438
chr1	4800000	4850000	0.44118
chr1	4850000	4900000	0.44226
chr1	4900000	4950000	0.46196
chr1	4950000	5000000	0.42884
chr1	5000000	5050000	0.42144
chr1	5050000	5100000	0.43252
chr1	5100000	5150000	0.44046
chr1	5150000	5200000	0.42266
chr1	5200000	5250000	0.42764
chr1	5250000	5300000	0.3865
chr1	5300000	5350000	0.38234
chr1	5350000	5400000	0.36126
chr1	5400000	5450000	0.36004
chr1	5450000	5500000	0.3694
chr1	5500000	5550000	0.37218
chr1	5550000	5600000	0.35768
chr1	5600000	5650000	0.40282
chr1	5650000	5700000	0.45828
chr1	5700000	5750000	0.38838
chr1	5750000	5800000	0.37386
chr1	5800000	5850000	0.3883
chr1	5850000	5900000	0.39054
chr1	5900000	5950000	0.37486
chr1	5950000	6000000	0.36182
chr1	6000000	6050000	0.3907
