chrom	start	end	weight	E1
chrX	0	10000		
chrX	10000	20000		
chrX	20000	30000		
chrX	30000	40000		
chrX	40000	50000		
chrX	50000	60000		
chrX	60000	70000		
chrX	70000	80000		
chrX	80000	90000		
chrX	90000	100000		
chrX	100000	110000		
chrX	110000	120000		
chrX	120000	130000		
chrX	130000	140000		
chrX	140000	150000		
chrX	150000	160000		
chrX	160000	170000		
chrX	170000	180000		
chrX	180000	190000		
chrX	190000	200000		
chrX	200000	210000		
chrX	210000	220000		
chrX	220000	230000		
chrX	230000	240000		
chrX	240000	250000		
chrX	250000	260000		
chrX	260000	270000		
chrX	270000	280000		
chrX	280000	290000		
chrX	290000	300000		
chrX	300000	310000		
chrX	310000	320000		
chrX	320000	330000		
chrX	330000	340000		
chrX	340000	350000		
chrX	350000	360000		
chrX	360000	370000		
chrX	370000	380000		
chrX	380000	390000		
chrX	390000	400000		
chrX	400000	410000		
chrX	410000	420000		
chrX	420000	430000		
chrX	430000	440000		
chrX	440000	450000		
chrX	450000	460000		
chrX	460000	470000		
chrX	470000	480000		
chrX	480000	490000		
chrX	490000	500000		
chrX	500000	510000		
chrX	510000	520000		
chrX	520000	530000		
chrX	530000	540000		
chrX	540000	550000		
chrX	550000	560000		
chrX	560000	570000		
chrX	570000	580000		
chrX	580000	590000		
chrX	590000	600000		
chrX	600000	610000		
chrX	610000	620000		
chrX	620000	630000		
chrX	630000	640000		
chrX	640000	650000		
chrX	650000	660000		
chrX	660000	670000		
chrX	670000	680000		
chrX	680000	690000		
chrX	690000	700000		
chrX	700000	710000		
chrX	710000	720000		
chrX	720000	730000		
chrX	730000	740000		
chrX	740000	750000		
chrX	750000	760000		
chrX	760000	770000		
chrX	770000	780000		
chrX	780000	790000		
chrX	790000	800000		
chrX	800000	810000		
chrX	810000	820000		
chrX	820000	830000		
chrX	830000	840000		
chrX	840000	850000		
chrX	850000	860000		
chrX	860000	870000		
chrX	870000	880000		
chrX	880000	890000		
chrX	890000	900000		
chrX	900000	910000		
chrX	910000	920000		
chrX	920000	930000		
chrX	930000	940000		
chrX	940000	950000		
chrX	950000	960000		
chrX	960000	970000		
chrX	970000	980000		
chrX	980000	990000		
chrX	990000	1000000		
chrX	1000000	1010000		
chrX	1010000	1020000		
chrX	1020000	1030000		
chrX	1030000	1040000		
chrX	1040000	1050000		
chrX	1050000	1060000		
chrX	1060000	1070000		
chrX	1070000	1080000		
chrX	1080000	1090000		
chrX	1090000	1100000		
chrX	1100000	1110000		
chrX	1110000	1120000		
chrX	1120000	1130000		
chrX	1130000	1140000		
chrX	1140000	1150000		
chrX	1150000	1160000		
chrX	1160000	1170000		
chrX	1170000	1180000		
chrX	1180000	1190000		
chrX	1190000	1200000		
chrX	1200000	1210000		
chrX	1210000	1220000		
chrX	1220000	1230000		
chrX	1230000	1240000		
chrX	1240000	1250000		
chrX	1250000	1260000		
chrX	1260000	1270000		
chrX	1270000	1280000		
chrX	1280000	1290000		
chrX	1290000	1300000		
chrX	1300000	1310000		
chrX	1310000	1320000		
chrX	1320000	1330000		
chrX	1330000	1340000		
chrX	1340000	1350000		
chrX	1350000	1360000		
chrX	1360000	1370000		
chrX	1370000	1380000		
chrX	1380000	1390000		
chrX	1390000	1400000		
chrX	1400000	1410000		
chrX	1410000	1420000		
chrX	1420000	1430000		
chrX	1430000	1440000		
chrX	1440000	1450000		
chrX	1450000	1460000		
chrX	1460000	1470000		
chrX	1470000	1480000		
chrX	1480000	1490000		
chrX	1490000	1500000		
chrX	1500000	1510000		
chrX	1510000	1520000		
chrX	1520000	1530000		
chrX	1530000	1540000		
chrX	1540000	1550000		
chrX	1550000	1560000		
chrX	1560000	1570000		
chrX	1570000	1580000		
chrX	1580000	1590000		
chrX	1590000	1600000		
chrX	1600000	1610000		
chrX	1610000	1620000		
chrX	1620000	1630000		
chrX	1630000	1640000		
chrX	1640000	1650000		
chrX	1650000	1660000		
chrX	1660000	1670000		
chrX	1670000	1680000		
chrX	1680000	1690000		
chrX	1690000	1700000		
chrX	1700000	1710000		
chrX	1710000	1720000		
chrX	1720000	1730000		
chrX	1730000	1740000		
chrX	1740000	1750000		
chrX	1750000	1760000		
chrX	1760000	1770000		
chrX	1770000	1780000		
chrX	1780000	1790000		
chrX	1790000	1800000		
chrX	1800000	1810000		
chrX	1810000	1820000		
chrX	1820000	1830000		
chrX	1830000	1840000		
chrX	1840000	1850000		
chrX	1850000	1860000		
chrX	1860000	1870000		
chrX	1870000	1880000		
chrX	1880000	1890000		
chrX	1890000	1900000		
chrX	1900000	1910000		
chrX	1910000	1920000		
chrX	1920000	1930000		
chrX	1930000	1940000		
chrX	1940000	1950000		
chrX	1950000	1960000		
chrX	1960000	1970000		
chrX	1970000	1980000		
chrX	1980000	1990000		
chrX	1990000	2000000		
chrX	2000000	2010000		
chrX	2010000	2020000		
chrX	2020000	2030000		
chrX	2030000	2040000		
chrX	2040000	2050000		
chrX	2050000	2060000		
chrX	2060000	2070000		
chrX	2070000	2080000		
chrX	2080000	2090000		
chrX	2090000	2100000		
chrX	2100000	2110000		
chrX	2110000	2120000		
chrX	2120000	2130000		
chrX	2130000	2140000		
chrX	2140000	2150000		
chrX	2150000	2160000		
chrX	2160000	2170000		
chrX	2170000	2180000		
chrX	2180000	2190000		
chrX	2190000	2200000		
chrX	2200000	2210000		
chrX	2210000	2220000		
chrX	2220000	2230000		
chrX	2230000	2240000		
chrX	2240000	2250000		
chrX	2250000	2260000		
chrX	2260000	2270000		
chrX	2270000	2280000		
chrX	2280000	2290000		
chrX	2290000	2300000		
chrX	2300000	2310000		
chrX	2310000	2320000		
chrX	2320000	2330000		
chrX	2330000	2340000		
chrX	2340000	2350000		
chrX	2350000	2360000		
chrX	2360000	2370000		
chrX	2370000	2380000		
chrX	2380000	2390000	0.03141312569338795	0.4411118844749464
chrX	2390000	2400000	0.034476270538160124	1.0572107135297997
chrX	2400000	2410000	0.03385756690373308	0.8628351955633012
chrX	2410000	2420000	0.025791704362765823	0.4780635871884644
chrX	2420000	2430000	0.03591114695800848	0.40263874772810726
chrX	2430000	2440000	0.026770791715429773	0.8294740102033533
chrX	2440000	2450000	0.030273706076038437	0.597934941320754
chrX	2450000	2460000	0.035785981657165095	0.47865140693362224
chrX	2460000	2470000	0.0265900526845126	0.7176964943586195
chrX	2470000	2480000	0.02641412360377578	0.7491862452634163
chrX	2480000	2490000	0.029002243216638923	0.47616491454163573
chrX	2490000	2500000	0.03176163999162129	0.3970141325331003
chrX	2500000	2510000	0.03310582009823559	0.059265816965542915
chrX	2510000	2520000	0.026057460018430855	0.3631357547704814
chrX	2520000	2530000	0.025699670923218034	1.3152372422176293
chrX	2530000	2540000	0.03182997482434193	-0.24061707674021174
chrX	2540000	2550000	0.02690219756788602	0.41097238568154665
chrX	2550000	2560000	0.02459228938299357	0.2783361499417006
chrX	2560000	2570000	0.02261303800925266	0.03918204337062859
chrX	2570000	2580000	0.031160395061543396	-0.12466424030334576
chrX	2580000	2590000	0.030136107241325625	0.25318775139041383
chrX	2590000	2600000	0.025229289141143224	0.15750351522509903
chrX	2600000	2610000	0.0238970948026653	0.4749682020649552
chrX	2610000	2620000	0.026115435235538914	0.16045158569612347
chrX	2620000	2630000	0.023129611227514262	0.12469098620324194
chrX	2630000	2640000	0.02744306026336385	0.4692892317009255
chrX	2640000	2650000	0.02597676420344036	0.13648255024519418
chrX	2650000	2660000	0.025161924159676052	0.11225836915010136
chrX	2660000	2670000	0.032512475678790294	0.35121972034075827
chrX	2670000	2680000	0.02768986111862574	0.45108144772349384
chrX	2680000	2690000	0.02107468407331393	0.0038530841492505066
chrX	2690000	2700000	0.02143586438316583	0.5138032713590005
chrX	2700000	2710000	0.02717083153376446	-0.24029995174063945
chrX	2710000	2720000	0.02758022364141865	0.3854676410460193
chrX	2720000	2730000	0.033532503893698745	-0.10273290859159535
chrX	2730000	2740000	0.030649553585619403	0.2174169816680037
chrX	2740000	2750000	0.0316923013194989	-0.20981922444478296
chrX	2750000	2760000	0.031278441507520856	-0.24148537660864933
chrX	2760000	2770000	0.03058537149175301	0.14752195163414453
chrX	2770000	2780000	0.03879303354625441	-0.23657022681115017
chrX	2780000	2790000	0.024055753449487738	0.03140410079568364
chrX	2790000	2800000	0.03014903012492974	0.13618111358190355
chrX	2800000	2810000	0.024024790358124746	0.29754032603488195
chrX	2810000	2820000	0.027407209859322285	0.18555990909524742
chrX	2820000	2830000	0.026426032105744957	0.08521763122178448
chrX	2830000	2840000	0.02583425929535255	-0.20182600620362348
chrX	2840000	2850000	0.04212510236799867	-0.018475284313095156
chrX	2850000	2860000	0.03153079171189722	0.11653394184229517
chrX	2860000	2870000	0.035678561919628426	0.2493374412537827
chrX	2870000	2880000	0.03156940069794099	0.11915038536524085
chrX	2880000	2890000	0.026920006170558695	0.37986504454958825
chrX	2890000	2900000	0.028407344089363733	0.17205577819440696
chrX	2900000	2910000	0.03235315766560405	0.8829201467325744
chrX	2910000	2920000	0.025537830251598597	-0.19388199254170455
chrX	2920000	2930000	0.04524258321149993	-0.3591252029699745
chrX	2930000	2940000		
chrX	2940000	2950000	0.026085971389944982	0.060168990387664954
chrX	2950000	2960000	0.031242226146472783	0.11955887791741804
chrX	2960000	2970000	0.030015635785170355	-0.13317186579490373
chrX	2970000	2980000	0.032287617131583214	0.21969865529887844
chrX	2980000	2990000	0.02793554439879355	0.029196966159861774
chrX	2990000	3000000	0.0334987247385157	-0.15424055000292086
chrX	3000000	3010000	0.023574468897014787	-0.014779897709633475
chrX	3010000	3020000	0.023653190974421694	0.2592694449044789
chrX	3020000	3030000	0.022927179696903745	0.2817750701876618
chrX	3030000	3040000	0.030036613501064072	0.32114553532208323
chrX	3040000	3050000	0.027683152426106604	0.15005963386366175
chrX	3050000	3060000	0.04741760552674516	-0.8174064340587119
chrX	3060000	3070000	0.041631272620478506	-0.03437844435597396
chrX	3070000	3080000	0.025090863664836132	0.4328133236628016
chrX	3080000	3090000	0.033936529633009076	-0.17085305935020775
chrX	3090000	3100000	0.028592351778734867	0.1670805684158383
chrX	3100000	3110000		
chrX	3110000	3120000	0.022877339102145892	0.2912021398780441
chrX	3120000	3130000	0.02708555376226726	0.15369113596633582
chrX	3130000	3140000	0.03794461322119597	-0.1191363666076334
chrX	3140000	3150000	0.029062234591712352	0.05705315533200062
chrX	3150000	3160000	0.025734122550366514	0.06910147331099514
chrX	3160000	3170000	0.027982835487931575	0.3160747575730969
chrX	3170000	3180000	0.02678506787594066	0.1405543500101811
chrX	3180000	3190000	0.037804189224271444	-0.037015784980354856
chrX	3190000	3200000	0.028085209689915153	0.23728264799678353
chrX	3200000	3210000	0.026473841459792438	0.10990330963781139
chrX	3210000	3220000	0.03773620166077334	-0.09949952714793661
chrX	3220000	3230000	0.02909295299432352	0.06429865371287613
chrX	3230000	3240000		
chrX	3240000	3250000	0.02877055022560394	0.16525135592376738
chrX	3250000	3260000	0.03488488415451553	-0.016005654179427377
chrX	3260000	3270000		
chrX	3270000	3280000	0.027036413380819486	0.30147595388078546
chrX	3280000	3290000	0.03483350628354117	-0.4275413032770362
chrX	3290000	3300000	0.03441742839867241	0.4037727813862839
chrX	3300000	3310000	0.026563180655146002	0.053423673594128994
chrX	3310000	3320000	0.027240940136083348	0.42680323490118777
chrX	3320000	3330000	0.024227906274310256	0.03427353188315391
chrX	3330000	3340000	0.026526535097130367	0.14748528931892277
chrX	3340000	3350000	0.029310024230139974	0.533692897158107
chrX	3350000	3360000	0.02571040122535626	0.5075110805726495
chrX	3360000	3370000	0.028163006058626632	-0.19770375592847034
chrX	3370000	3380000	0.021924874723737036	-0.36349752368336263
chrX	3380000	3390000	0.03792456479035024	-0.23872953578502265
chrX	3390000	3400000	0.027172419376176163	-0.3790119841054029
chrX	3400000	3410000	0.03146851137062675	-0.07394471391072077
chrX	3410000	3420000	0.0250329602344442	0.11679514711263193
chrX	3420000	3430000	0.024045939834987227	0.42776246392753514
chrX	3430000	3440000	0.023513115405130184	0.46669698568097917
chrX	3440000	3450000	0.03155166166711374	-0.09969120601977553
chrX	3450000	3460000	0.03179883566125269	-0.33839636224460407
chrX	3460000	3470000	0.03560101994173241	0.1947586467970643
chrX	3470000	3480000	0.02492268224170154	-0.11119926061800141
chrX	3480000	3490000	0.03185962222764535	-0.1096707029884614
chrX	3490000	3500000	0.02857807822133194	-0.0840452383222204
chrX	3500000	3510000	0.02358758410005058	-0.2253177112504077
chrX	3510000	3520000	0.022095585074994976	-0.2615803731650597
chrX	3520000	3530000	0.029758518313663367	-0.4597000933063627
chrX	3530000	3540000	0.024906454412435847	-0.03807940879051916
chrX	3540000	3550000	0.023835380804564415	-0.34627736711467566
chrX	3550000	3560000	0.035319600566113475	-0.05969208687459763
chrX	3560000	3570000	0.022598340624731234	-0.26483642884313063
chrX	3570000	3580000	0.020993141768553464	-0.3569140662538449
chrX	3580000	3590000	0.020715573558468266	-0.5599699340694009
chrX	3590000	3600000	0.029602916485776832	-0.3883483264099092
chrX	3600000	3610000	0.028478830422547115	-0.034568134864945754
chrX	3610000	3620000	0.022088710372405423	-0.5353462705135882
chrX	3620000	3630000	0.029512005917468474	-0.23174992987442286
chrX	3630000	3640000	0.02580895907842184	-0.5000046918354346
chrX	3640000	3650000	0.02246222280579588	-0.6163682799280914
chrX	3650000	3660000	0.02415174522832571	-0.4705885646726552
chrX	3660000	3670000	0.021436184330361856	-0.36129147220242375
chrX	3670000	3680000	0.02435565294163215	-0.6683147751820842
chrX	3680000	3690000	0.02814509404886175	-0.2243217081531595
chrX	3690000	3700000	0.020073696859438807	-0.11614232889918363
chrX	3700000	3710000	0.023375973234448597	-0.7009000177623768
chrX	3710000	3720000	0.02057971924328574	-0.6364309810469289
chrX	3720000	3730000	0.024338813792789085	-0.27852097095819467
chrX	3730000	3740000	0.02082124043733291	-0.38546474004840997
chrX	3740000	3750000	0.025952695969189792	-0.6792044213337645
chrX	3750000	3760000	0.023681259675609835	-0.25729912993185833
chrX	3760000	3770000	0.028856792761834425	-0.40897362655576186
chrX	3770000	3780000	0.02381682248632743	-0.6006235592462875
chrX	3780000	3790000	0.022911625497067902	-0.6610870988939513
chrX	3790000	3800000	0.019900002597792503	-0.44835434871989804
