chrom	start	end	weight	E1	E2	E3
chrX	0	5000				
chrX	5000	10000				
chrX	10000	15000				
chrX	15000	20000				
chrX	20000	25000				
chrX	25000	30000				
chrX	30000	35000				
chrX	35000	40000				
chrX	40000	45000				
chrX	45000	50000				
chrX	50000	55000				
chrX	55000	60000				
chrX	60000	65000				
chrX	65000	70000				
chrX	70000	75000				
chrX	75000	80000				
chrX	80000	85000				
chrX	85000	90000				
chrX	90000	95000				
chrX	95000	100000				
chrX	100000	105000				
chrX	105000	110000				
chrX	110000	115000				
chrX	115000	120000				
chrX	120000	125000				
chrX	125000	130000				
chrX	130000	135000				
chrX	135000	140000				
chrX	140000	145000				
chrX	145000	150000				
chrX	150000	155000				
chrX	155000	160000				
chrX	160000	165000				
chrX	165000	170000				
chrX	170000	175000				
chrX	175000	180000				
chrX	180000	185000				
chrX	185000	190000				
chrX	190000	195000				
chrX	195000	200000				
chrX	200000	205000				
chrX	205000	210000				
chrX	210000	215000				
chrX	215000	220000				
chrX	220000	225000				
chrX	225000	230000				
chrX	230000	235000				
chrX	235000	240000				
chrX	240000	245000				
chrX	245000	250000				
chrX	250000	255000				
chrX	255000	260000				
chrX	260000	265000				
chrX	265000	270000				
chrX	270000	275000				
chrX	275000	280000				
chrX	280000	285000				
chrX	285000	290000				
chrX	290000	295000				
chrX	295000	300000				
chrX	300000	305000	0.03739896149842511	0.3936681504675041	0.14849287302759467	-0.11429551913096783
chrX	305000	310000				
chrX	310000	315000				
chrX	315000	320000				
chrX	320000	325000				
chrX	325000	330000				
chrX	330000	335000				
chrX	335000	340000				
chrX	340000	345000				
chrX	345000	350000				
chrX	350000	355000				
chrX	355000	360000				
chrX	360000	365000				
chrX	365000	370000				
chrX	370000	375000				
chrX	375000	380000				
chrX	380000	385000				
chrX	385000	390000				
chrX	390000	395000				
chrX	395000	400000				
chrX	400000	405000				
chrX	405000	410000				
chrX	410000	415000				
chrX	415000	420000				
chrX	420000	425000				
chrX	425000	430000				
chrX	430000	435000				
chrX	435000	440000				
chrX	440000	445000				
chrX	445000	450000				
chrX	450000	455000				
chrX	455000	460000				
chrX	460000	465000				
chrX	465000	470000				
chrX	470000	475000				
chrX	475000	480000				
chrX	480000	485000				
chrX	485000	490000				
chrX	490000	495000				
chrX	495000	500000				
chrX	500000	505000				
chrX	505000	510000				
chrX	510000	515000				
chrX	515000	520000				
chrX	520000	525000				
chrX	525000	530000				
chrX	530000	535000				
chrX	535000	540000				
chrX	540000	545000				
chrX	545000	550000				
chrX	550000	555000				
chrX	555000	560000	0.05575039052257817	-0.47732623425051374	-0.14223212512632402	-0.8189262314847818
chrX	560000	565000				
chrX	565000	570000				
chrX	570000	575000				
chrX	575000	580000				
chrX	580000	585000				
chrX	585000	590000				
chrX	590000	595000				
chrX	595000	600000				
chrX	600000	605000				
chrX	605000	610000				
chrX	610000	615000				
chrX	615000	620000				
chrX	620000	625000				
chrX	625000	630000				
chrX	630000	635000				
chrX	635000	640000				
chrX	640000	645000				
chrX	645000	650000				
chrX	650000	655000				
chrX	655000	660000				
chrX	660000	665000				
chrX	665000	670000				
chrX	670000	675000				
chrX	675000	680000				
chrX	680000	685000				
chrX	685000	690000				
chrX	690000	695000				
chrX	695000	700000				
chrX	700000	705000				
chrX	705000	710000				
chrX	710000	715000				
chrX	715000	720000				
chrX	720000	725000				
chrX	725000	730000				
chrX	730000	735000				
chrX	735000	740000				
chrX	740000	745000				
chrX	745000	750000				
chrX	750000	755000				
chrX	755000	760000				
chrX	760000	765000				
chrX	765000	770000				
chrX	770000	775000				
chrX	775000	780000				
chrX	780000	785000				
chrX	785000	790000				
chrX	790000	795000				
chrX	795000	800000				
chrX	800000	805000				
chrX	805000	810000				
chrX	810000	815000				
chrX	815000	820000				
chrX	820000	825000				
chrX	825000	830000				
chrX	830000	835000				
chrX	835000	840000				
chrX	840000	845000				
chrX	845000	850000				
chrX	850000	855000				
chrX	855000	860000				
chrX	860000	865000				
chrX	865000	870000				
chrX	870000	875000				
chrX	875000	880000				
chrX	880000	885000				
chrX	885000	890000				
chrX	890000	895000				
chrX	895000	900000				
chrX	900000	905000				
chrX	905000	910000				
chrX	910000	915000				
chrX	915000	920000				
chrX	920000	925000				
chrX	925000	930000				
chrX	930000	935000				
chrX	935000	940000				
chrX	940000	945000				
chrX	945000	950000				
chrX	950000	955000				
chrX	955000	960000				
chrX	960000	965000				
chrX	965000	970000				
chrX	970000	975000				
chrX	975000	980000				
chrX	980000	985000				
chrX	985000	990000				
chrX	990000	995000				
chrX	995000	1000000				
chrX	1000000	1005000				
chrX	1005000	1010000				
chrX	1010000	1015000				
chrX	1015000	1020000				
chrX	1020000	1025000				
chrX	1025000	1030000				
chrX	1030000	1035000				
chrX	1035000	1040000				
chrX	1040000	1045000				
chrX	1045000	1050000				
chrX	1050000	1055000				
chrX	1055000	1060000				
chrX	1060000	1065000				
chrX	1065000	1070000				
chrX	1070000	1075000				
chrX	1075000	1080000				
chrX	1080000	1085000				
chrX	1085000	1090000				
chrX	1090000	1095000				
chrX	1095000	1100000				
chrX	1100000	1105000				
chrX	1105000	1110000				
chrX	1110000	1115000				
chrX	1115000	1120000				
chrX	1120000	1125000				
chrX	1125000	1130000				
chrX	1130000	1135000				
chrX	1135000	1140000				
chrX	1140000	1145000				
chrX	1145000	1150000				
chrX	1150000	1155000				
chrX	1155000	1160000				
chrX	1160000	1165000				
chrX	1165000	1170000				
chrX	1170000	1175000				
chrX	1175000	1180000				
chrX	1180000	1185000				
chrX	1185000	1190000				
chrX	1190000	1195000				
chrX	1195000	1200000				
chrX	1200000	1205000				
chrX	1205000	1210000				
chrX	1210000	1215000				
chrX	1215000	1220000				
chrX	1220000	1225000				
chrX	1225000	1230000				
chrX	1230000	1235000				
chrX	1235000	1240000				
chrX	1240000	1245000				
chrX	1245000	1250000				
chrX	1250000	1255000				
chrX	1255000	1260000				
chrX	1260000	1265000				
chrX	1265000	1270000				
chrX	1270000	1275000				
chrX	1275000	1280000				
chrX	1280000	1285000				
chrX	1285000	1290000				
chrX	1290000	1295000				
chrX	1295000	1300000				
chrX	1300000	1305000				
chrX	1305000	1310000				
chrX	1310000	1315000				
chrX	1315000	1320000				
chrX	1320000	1325000				
chrX	1325000	1330000				
chrX	1330000	1335000				
chrX	1335000	1340000				
chrX	1340000	1345000				
chrX	1345000	1350000				
chrX	1350000	1355000				
chrX	1355000	1360000				
chrX	1360000	1365000				
chrX	1365000	1370000				
chrX	1370000	1375000				
chrX	1375000	1380000				
chrX	1380000	1385000				
chrX	1385000	1390000				
chrX	1390000	1395000				
chrX	1395000	1400000				
chrX	1400000	1405000				
chrX	1405000	1410000				
chrX	1410000	1415000				
chrX	1415000	1420000				
chrX	1420000	1425000				
chrX	1425000	1430000				
chrX	1430000	1435000				
chrX	1435000	1440000				
chrX	1440000	1445000				
chrX	1445000	1450000				
chrX	1450000	1455000				
chrX	1455000	1460000				
chrX	1460000	1465000				
chrX	1465000	1470000				
chrX	1470000	1475000				
chrX	1475000	1480000				
chrX	1480000	1485000				
chrX	1485000	1490000				
chrX	1490000	1495000				
chrX	1495000	1500000				
chrX	1500000	1505000				
chrX	1505000	1510000				
chrX	1510000	1515000				
chrX	1515000	1520000				
chrX	1520000	1525000				
chrX	1525000	1530000				
chrX	1530000	1535000				
chrX	1535000	1540000				
chrX	1540000	1545000				
chrX	1545000	1550000				
chrX	1550000	1555000				
chrX	1555000	1560000				
chrX	1560000	1565000				
chrX	1565000	1570000				
chrX	1570000	1575000				
chrX	1575000	1580000				
chrX	1580000	1585000				
chrX	1585000	1590000				
chrX	1590000	1595000				
chrX	1595000	1600000				
chrX	1600000	1605000				
chrX	1605000	1610000				
chrX	1610000	1615000				
chrX	1615000	1620000				
chrX	1620000	1625000				
chrX	1625000	1630000				
chrX	1630000	1635000				
chrX	1635000	1640000				
chrX	1640000	1645000				
chrX	1645000	1650000				
chrX	1650000	1655000				
chrX	1655000	1660000				
chrX	1660000	1665000				
chrX	1665000	1670000				
chrX	1670000	1675000				
chrX	1675000	1680000				
chrX	1680000	1685000				
chrX	1685000	1690000				
chrX	1690000	1695000				
chrX	1695000	1700000				
chrX	1700000	1705000				
chrX	1705000	1710000				
chrX	1710000	1715000				
chrX	1715000	1720000				
chrX	1720000	1725000	0.0628645266473449	0.07951418861260647	0.18146828809686907	-0.848310981212707
chrX	1725000	1730000				
chrX	1730000	1735000				
chrX	1735000	1740000				
chrX	1740000	1745000				
chrX	1745000	1750000				
chrX	1750000	1755000				
chrX	1755000	1760000				
chrX	1760000	1765000				
chrX	1765000	1770000				
chrX	1770000	1775000				
chrX	1775000	1780000				
chrX	1780000	1785000				
chrX	1785000	1790000				
chrX	1790000	1795000				
chrX	1795000	1800000				
chrX	1800000	1805000				
chrX	1805000	1810000				
chrX	1810000	1815000				
chrX	1815000	1820000				
chrX	1820000	1825000				
chrX	1825000	1830000				
chrX	1830000	1835000				
chrX	1835000	1840000				
chrX	1840000	1845000				
chrX	1845000	1850000				
chrX	1850000	1855000				
chrX	1855000	1860000				
chrX	1860000	1865000				
chrX	1865000	1870000				
chrX	1870000	1875000				
chrX	1875000	1880000				
chrX	1880000	1885000				
chrX	1885000	1890000				
chrX	1890000	1895000				
chrX	1895000	1900000				
chrX	1900000	1905000				
chrX	1905000	1910000				
chrX	1910000	1915000				
chrX	1915000	1920000				
chrX	1920000	1925000				
chrX	1925000	1930000				
chrX	1930000	1935000				
chrX	1935000	1940000				
chrX	1940000	1945000				
chrX	1945000	1950000				
chrX	1950000	1955000				
chrX	1955000	1960000				
chrX	1960000	1965000				
chrX	1965000	1970000				
chrX	1970000	1975000				
chrX	1975000	1980000				
chrX	1980000	1985000				
chrX	1985000	1990000				
chrX	1990000	1995000				
chrX	1995000	2000000				
chrX	2000000	2005000				
chrX	2005000	2010000				
chrX	2010000	2015000				
chrX	2015000	2020000				
chrX	2020000	2025000				
chrX	2025000	2030000				
chrX	2030000	2035000				
chrX	2035000	2040000				
chrX	2040000	2045000				
chrX	2045000	2050000				
chrX	2050000	2055000				
chrX	2055000	2060000				
chrX	2060000	2065000				
chrX	2065000	2070000				
chrX	2070000	2075000				
chrX	2075000	2080000				
chrX	2080000	2085000				
chrX	2085000	2090000				
