chrom	start	end	weight	E1	E2	E3
chrX	0	50000				
chrX	50000	100000				
chrX	100000	150000				
chrX	150000	200000				
chrX	200000	250000				
chrX	250000	300000				
chrX	300000	350000				
chrX	350000	400000				
chrX	400000	450000				
chrX	450000	500000				
chrX	500000	550000				
chrX	550000	600000				
chrX	600000	650000				
chrX	650000	700000				
chrX	700000	750000				
chrX	750000	800000				
chrX	800000	850000				
chrX	850000	900000				
chrX	900000	950000				
chrX	950000	1000000				
chrX	1000000	1050000				
chrX	1050000	1100000				
chrX	1100000	1150000				
chrX	1150000	1200000				
chrX	1200000	1250000				
chrX	1250000	1300000				
chrX	1300000	1350000				
chrX	1350000	1400000				
chrX	1400000	1450000				
chrX	1450000	1500000				
chrX	1500000	1550000				
chrX	1550000	1600000				
chrX	1600000	1650000				
chrX	1650000	1700000				
chrX	1700000	1750000				
chrX	1750000	1800000				
chrX	1800000	1850000				
chrX	1850000	1900000				
chrX	1900000	1950000				
chrX	1950000	2000000				
chrX	2000000	2050000				
chrX	2050000	2100000				
chrX	2100000	2150000				
chrX	2150000	2200000				
chrX	2200000	2250000				
chrX	2250000	2300000				
chrX	2300000	2350000				
chrX	2350000	2400000	0.024788771133383083	0.9196451596222311	-1.6406513560267437	1.3248714598171647
chrX	2400000	2450000	0.011952620224648604	1.0407997056242895	-1.878488821394323	1.3757499758419982
chrX	2450000	2500000	0.010850975224037874	0.846524241668676	-1.6039238941072338	1.3526622801940795
chrX	2500000	2550000	0.009764647642299052	0.9933127214304514	-1.4255377048614624	1.313475012821098
chrX	2550000	2600000	0.008916904359135164	0.8447350166760745	-1.142493473867453	1.2862532671617768
chrX	2600000	2650000	0.009024887462833621	0.8064986623937449	-1.0842586965491154	1.2909981460542188
chrX	2650000	2700000	0.008885711290825705	0.7011635240691154	-0.9327433370982142	1.0822591385804394
chrX	2700000	2750000	0.009576156534248148	0.7014542071319311	-0.581088552541724	0.7587349775408125
chrX	2750000	2800000	0.01043819191335865	0.8786954210690141	-1.1820511556338398	1.2036607514883058
chrX	2800000	2850000	0.009537584123487349	0.9817701787905545	-1.2358659990081455	1.1969207079794189
chrX	2850000	2900000	0.010421611184961915	1.1300644739435164	-1.0776348000964013	1.0097010313994044
chrX	2900000	2950000	0.012933921221384285	0.9434672321546052	-1.0002971433482293	1.0818483620713784
chrX	2950000	3000000	0.010069030627160643	0.8071273237658357	-0.862700115376619	0.918173334730687
chrX	3000000	3050000	0.008506573662418056	0.9426973955972386	-1.185010032518786	1.1169607107301645
chrX	3050000	3100000	0.012226088632561364	0.8195123630661453	-1.0356519376187074	1.0929761071956405
chrX	3100000	3150000	0.010170780009912042	0.8949496518588594	-1.0637196063820822	1.0022581196555906
chrX	3150000	3200000	0.009795068559698035	0.8874416975694488	-0.7293236829158025	0.9720536328417421
chrX	3200000	3250000	0.011264884549743656	0.8264465444054069	-0.9481978799048522	1.0646132867019287
chrX	3250000	3300000	0.010518479223559593	0.6507937436731825	-0.983283217497177	1.2742756497005832
chrX	3300000	3350000	0.008316216263070931	0.6674171288374987	-1.2269813089745683	1.5410982173125838
chrX	3350000	3400000	0.009601935162539356	0.422582200939186	-1.293348225347865	1.5548801559135603
chrX	3400000	3450000	0.008468599710700355	0.45601465695776805	-1.1027685206905573	1.6474285336991124
chrX	3450000	3500000	0.009826247804548072	-0.41723510787138357	-1.0298600984574353	1.5343961967408177
chrX	3500000	3550000	0.009297888624627472	-1.159859862490713	-0.6312783850881035	1.0717313296357307
chrX	3550000	3600000	0.011021558223144398	-1.262383566290452	-0.7695604030871211	0.8313339304786731
chrX	3600000	3650000	0.011936553955882192	-1.2600752121602412	-0.8107089500861405	0.8156367466185962
chrX	3650000	3700000	0.010849310506068877	-1.4189298442170961	-0.6571706603413331	0.7384930600895769
chrX	3700000	3750000	0.010955016685742381	-1.2574272143671845	-0.4429158957669592	0.6475809790348802
chrX	3750000	3800000	0.01190204781531294	-1.1914743949649007	-0.6130948842884194	0.6254899252002715
chrX	3800000	3850000	0.011573232002044229	-1.2469989191219397	-0.4926371325585065	0.6236786116039345
chrX	3850000	3900000	0.0121524179941508	-1.2559864131912697	-0.46710173081913486	0.4875282180754243
chrX	3900000	3950000	0.011996499543925251	-1.2354304475683922	-0.4529445542934283	0.5011419358149073
chrX	3950000	4000000	0.012031904838964285	-1.1173959032052112	-0.4287901525385504	0.445308502491146
chrX	4000000	4050000	0.010312207158869373	-1.0508939863209852	-0.3208460435099155	0.3473611277025497
chrX	4050000	4100000	0.010525581965037785	-1.1248073723476393	-0.23383401637780957	0.34671142077098915
chrX	4100000	4150000	0.012103176719276599	-1.001867801587362	-0.0429311931785642	0.2915554500477345
chrX	4150000	4200000	0.012279304979549332	-1.0597726763003814	-0.3157789465970607	0.26500209802493113
chrX	4200000	4250000	0.010725961898920233	-1.0305900700270736	-0.24946827301807184	0.38700492599623665
chrX	4250000	4300000	0.01234150494187096	-1.0523630349338	-0.22493273431837082	0.38867868392764465
chrX	4300000	4350000	0.013173584263564282	-0.9834784952425962	-0.26132880278370785	0.2452906043221703
chrX	4350000	4400000	0.012155316282970492	-0.9319574249401166	-0.31361337383118926	0.3635570286402083
chrX	4400000	4450000	0.011765829527424233	-0.9426895417388823	-0.13033478553047947	0.3392901732232826
